week_ending,region,year,month,season,decade,total_beef_dairy,mean_daytime_hours_above_30,mean_daytime_hours_above_35,mean_nighttime_hours_above_21,mean_vpd_mean,mean_vpd_max,heat_vpd_product,heat_vpd_recovery_compound,extreme_stress_compound,weighted_compound_index,threshold_score,pca_compound_index,stress_category
1984-01-07,4,1984,1,Winter,1980,21.3,0.0,0.0,0.0,0.21000893414020538,0.4390830099582672,0.0,0.0,0.0,0.008285083877173511,0,-2.1885599228865362,Minimal
1984-01-14,4,1984,1,Winter,1980,19.1,0.0,0.0,0.25559105431333334,0.16491761803627014,0.3237774968147278,0.0,0.0,0.0,0.004402852831973869,0,-2.2804801111585187,Minimal
1984-01-21,4,1984,1,Winter,1980,17.9,0.0,0.0,1.1469648562302779,0.1395629495382309,0.2531287670135498,0.0,0.0,0.0,0.004358001307336415,0,-2.3226316533743288,Minimal
1984-01-28,4,1984,1,Winter,1980,18.2,0.0,0.0,1.7028753993611112,0.16462065279483795,0.3376997411251068,0.0,0.0,0.0,0.008511347400736495,0,-2.2491609544231665,Minimal
1984-02-04,4,1984,2,Winter,1980,17.2,0.0,0.0,0.3482428115016667,0.2689313292503357,0.531112790107727,0.0,0.0,0.0,0.015309147367353693,0,-2.0875013121502675,Minimal
1984-02-11,4,1984,2,Winter,1980,17.3,0.0,0.0,0.27795527156555555,0.272708535194397,0.5016641020774841,0.0,0.0,0.0,0.015494577045626705,0,-2.100973427718961,Minimal
1984-02-18,4,1984,2,Winter,1980,17.8,0.0,0.0,1.9616613418530555,0.34103262424468994,0.7050703167915344,0.0,0.0,0.0,0.027299595351290767,0,-1.9119719332457157,Minimal
1984-02-25,4,1984,2,Winter,1980,15.2,0.0,0.0,2.4345047923325,0.3349219262599945,0.6404016017913818,0.0,0.0,0.0,0.028026643642648997,0,-1.942588523584386,Minimal
1984-03-03,4,1984,3,Spring,1980,18.0,0.0,0.0,0.8274760383388889,0.3014918863773346,0.5237352848052979,0.0,0.0,0.0,0.020010809910909,0,-2.057142132648896,Minimal
1984-03-10,4,1984,3,Spring,1980,18.4,0.0,0.0,1.7731629392972221,0.3291914165019989,0.5568119287490845,0.0,0.0,0.0,0.02554909768230161,0,-2.0017989901431723,Minimal
1984-03-17,4,1984,3,Spring,1980,17.3,0.0,0.0,7.600638977635834,0.4152892529964447,0.7852911353111267,0.0,0.0,0.0,0.051022655104554046,0,-1.7158661210544666,Minimal
1984-03-24,4,1984,3,Spring,1980,17.9,0.0,0.0,6.773162939297222,0.47450241446495056,0.8501505255699158,0.0,0.0,0.0,0.05471420016103555,0,-1.6484637918543457,Minimal
1984-03-31,4,1984,3,Spring,1980,17.5,0.0,0.0,6.150159744409167,0.43434497714042664,0.739365816116333,0.0,0.0,0.0,0.048824176761984514,0,-1.7488286422289276,Minimal
1984-04-07,4,1984,4,Spring,1980,18.6,0.0,0.0,3.6837060702877777,0.5143448114395142,0.8577769994735718,0.0,0.0,0.0,0.049955272755636826,0,-1.664398969705607,Minimal
1984-04-14,4,1984,4,Spring,1980,19.7,0.0031948881791666666,0.0,9.712460063897778,0.5332111120223999,0.9005823135375977,0.0017035498788006787,0.0033581158952716277,0.0,0.06916163803673066,0,-1.5255629468263991,Minimal
1984-04-21,4,1984,4,Spring,1980,18.9,0.10223642172527778,0.0,8.175718849840278,0.5456708669662476,0.8956932425498962,0.05578743687835923,0.10139767680542686,0.0,0.06714094850227648,0,-1.5397602917036053,Minimal
1984-04-28,4,1984,4,Spring,1980,18.9,0.5079872204475,0.0,24.297124600639165,0.6838945746421814,1.1505826711654663,0.34740970405160704,1.1915153907329143,0.0,0.13188899442498925,1,-1.0082697399444451,Moderate
1984-05-05,4,1984,5,Spring,1980,16.3,1.364217252396389,0.0,30.642172523961666,0.6767109036445618,1.0982730388641357,0.9231806896366616,3.7520068859003106,0.0,0.15880287232869317,1,-0.8987363647884955,Moderate
1984-05-12,4,1984,5,Spring,1980,18.6,1.562300319488889,0.0,32.910543130990554,0.7867727279663086,1.2355279922485352,1.2291752842669086,5.274457905108275,0.0,0.17874853207082916,1,-0.6925067467980762,Moderate
1984-05-19,4,1984,5,Spring,1980,19.9,1.8338658146966667,0.0063897763580555555,28.936102236421945,1.0604054927825928,1.584010124206543,1.9446413829305698,7.571675569896162,0.025985986094740485,0.19839135009978218,1,-0.3460813680464673,Moderate
1984-05-26,4,1984,5,Spring,1980,17.8,2.5207667731630554,0.0,44.98083067092639,0.8372540473937988,1.3057608604431152,2.110522183366574,11.603826279091145,0.0,0.22906946832717828,1,-0.372428199587042,Moderate
1984-06-02,4,1984,6,Summer,1980,18.2,0.6677316293930555,0.0063897763580555555,33.40894568690111,0.8514828681945801,1.2945237159729004,0.5685620429798393,2.468067884334538,0.02075064605779808,0.17686506435841365,1,-0.6383021872263566,Moderate
1984-06-09,4,1984,6,Summer,1980,19.1,11.58466453674139,0.17571884984027777,55.37380191693278,1.301818609237671,1.990379810333252,15.081131875705642,98.59109279255216,1.5337478490288488,0.4069218574470037,1,0.9313787204409539,Moderate
1984-06-16,4,1984,6,Summer,1980,20.4,17.079872204473055,0.3706070287541667,65.94249201277944,1.3856499195098877,2.052175283432007,23.666723545367258,179.7309963812712,4.165290132795584,0.5067151437194537,1,1.4606392101016,Moderate
1984-06-23,4,1984,6,Summer,1980,19.5,22.019169329073613,3.124600638977778,66.40255591054306,1.4413343667984009,2.152299165725708,31.736985482347084,242.47868077471165,41.34739616820863,0.5685504181577646,2,2.077996050220964,Moderate
1984-06-30,4,1984,6,Summer,1980,12.7,14.821086261980833,0.6645367412141666,60.03833865814694,1.3660082817077637,2.0470190048217773,20.24572657777098,141.79770544341702,7.081048876969096,0.46275032209108324,1,1.2808115515990675,Moderate
1984-07-07,4,1984,7,Summer,1980,21.6,13.833865814696667,0.8051118210863889,62.86581469648556,1.2311464548110962,1.8866372108459473,17.03151485409622,124.10152053590163,7.968927261792116,0.4460814469359454,1,1.1107125099672592,Moderate
1984-07-14,4,1984,7,Summer,1980,21.5,23.686900958466666,3.6613418530352777,63.90734824281139,1.5224394798278809,2.309358835220337,36.06187317394252,266.5237418954668,54.38979563272445,0.5882230008996632,2,2.3124770348909207,Moderate
1984-07-21,4,1984,7,Summer,1980,20.3,11.814696485623056,0.6613418530352778,62.063897763578055,1.1520918607711792,1.8017909526824951,13.611615658568178,98.09060792161753,6.422075551681738,0.4132889744751575,1,0.8889148579230509,Moderate
1984-07-28,4,1984,7,Summer,1980,20.1,14.108626198083334,0.6837060702877777,64.16293929712444,1.2026963233947754,1.843226432800293,16.968392856586032,125.84258893927498,6.860375557919287,0.449929900389342,1,1.0851282343101376,Moderate
1984-08-04,4,1984,8,Summer,1980,20.7,4.364217252396389,0.0,56.98083067092639,0.7538660764694214,1.2365820407867432,3.2900353369242246,22.03692998038857,0.0,0.2753163257431748,1,-0.19644126454213906,Moderate
1984-08-11,4,1984,8,Summer,1980,21.2,17.546325878594445,0.0,67.82747603833862,1.1211309432983398,1.7555220127105713,19.67172888368866,153.1001008327973,0.0,0.4902208884504563,1,1.1039710861236147,Moderate
1984-08-18,4,1984,8,Summer,1980,22.9,20.990415335463332,0.2907348242813889,66.8115015974439,1.3537921905517578,2.0923409461975098,28.416660357588114,218.27263524509,3.667778489764245,0.5493452825997645,2,1.6258109680662403,Moderate
1984-08-25,4,1984,8,Summer,1980,24.3,13.923322683706111,0.3865814696486111,58.821086261980554,1.286262035369873,2.0862326622009277,17.909041374255345,123.2519681287006,4.194824890135527,0.4411461402852613,1,1.148216832239055,Moderate
1984-09-01,4,1984,9,Fall,1980,19.3,18.38658146964861,1.2587859424922223,58.92651757188472,1.4497218132019043,2.333369255065918,26.65542822676352,183.72658420581277,14.907526024025385,0.5077097385117543,1,1.6939315756076212,Moderate
1984-09-08,4,1984,9,Fall,1980,23.3,9.386581469648611,0.4600638977636111,46.5654952076675,1.3500728607177734,2.162996530532837,12.672568897088942,71.68301352171208,3.975697529281076,0.36227185895964575,1,0.8512830637144763,Moderate
1984-09-15,4,1984,9,Fall,1980,24.0,19.50159744408972,2.8913738019169446,58.44408945686889,1.4558337926864624,2.405453681945801,28.39108457047376,194.32019321190361,35.23751846186892,0.5193312980755074,1,1.9561549080135747,Moderate
1984-09-22,4,1984,9,Fall,1980,22.7,6.083067092651945,0.0,35.64217252396139,1.3483657836914062,2.194819450378418,8.202199527631043,37.43662059160907,0.0,0.2941925380978309,1,0.49329497910975517,Moderate
1984-09-29,4,1984,9,Fall,1980,22.5,9.460063897763611,0.19488817891388888,42.808306709265,1.1728960275650024,1.9903392791748047,11.095671366198033,58.594361665139516,1.3329659856649303,0.33421639482449195,1,0.5297028206152065,Moderate
1984-10-06,4,1984,10,Fall,1980,24.2,0.3610223642175,0.0,19.929712460064167,1.076310396194458,1.8100539445877075,0.3885721238659973,1.1629851937305737,0.0,0.1579149627299254,1,-0.429496600770007,Moderate
1984-10-13,4,1984,10,Fall,1980,24.7,1.878594249201389,0.0,31.083067092651945,0.9345966577529907,1.691999077796936,1.755727906577607,7.2130687382369185,0.0,0.19215646621330928,1,-0.35368151705973655,Moderate
1984-10-20,4,1984,10,Fall,1980,24.8,4.715654952076944,0.0,42.958466453673886,0.9157673716545105,1.7030575275421143,4.31844294109308,22.86981156279827,0.0,0.2556801723237677,1,-0.0444902424856477,Moderate
1984-10-27,4,1984,10,Fall,1980,25.1,2.8083067092652776,0.0,38.140575079871944,0.7173499464988708,1.3660558462142944,2.014538667643867,9.698104998101476,0.0,0.2004324822452088,1,-0.5401816608394111,Moderate
1984-11-03,4,1984,11,Fall,1980,23.0,0.9297124600641666,0.0,34.546325878594445,0.6186873316764832,1.214813232421875,0.5752013211434782,2.562310549745544,0.0,0.15920887374492512,1,-0.8373362611778311,Moderate
1984-11-10,4,1984,11,Fall,1980,22.8,0.0,0.0,5.536741214057778,0.5455992221832275,1.010602593421936,0.0,0.0,0.0,0.05845204193034881,0,-1.528643135764522,Minimal
1984-11-17,4,1984,11,Fall,1980,18.0,0.0,0.0,2.1789137380194443,0.4910108149051666,0.9169191718101501,0.0,0.0,0.0,0.04326470612997239,0,-1.677639422716139,Minimal
1984-11-24,4,1984,11,Fall,1980,24.4,0.0,0.0,3.2811501597444446,0.3649815618991852,0.6959714293479919,0.0,0.0,0.0,0.03352315243461343,0,-1.8753087700291358,Minimal
1984-12-01,4,1984,12,Winter,1980,24.3,0.0,0.0,2.3833865814697224,0.3574290871620178,0.7243002653121948,0.0,0.0,0.0,0.030183098845590298,0,-1.8817132816559665,Minimal
