date,week,region_1_2_dairy,region_1_2_beef_dairy,region_3_dairy,region_3_beef_dairy,region_4_dairy,region_4_beef_dairy,region_5_dairy,region_5_beef_dairy,region_6_dairy,region_6_beef_dairy,region_7_dairy,region_7_beef_dairy,region_8_dairy,region_8_beef_dairy,region_9_dairy,region_9_beef_dairy,region_10_dairy,region_10_beef_dairy,reported_total_dairy,reported_total_beef_dairy,calculated_total_beef,calculated_pct_beef,calculated_total_dairy,calculated_total_beef_dairy,diff_dairy,diff_beef_dairy
1984-01-07,1,5.8,6.8,11.9,13.8,10.3,21.3,27.6,40.2,6.8,29.9,11.7,36.9,3.5,11.6,8.5,10.7,4.4,9.1,90.49999999999999,180.29999999999998,89.8,0.498,,,,
1984-01-14,2,6.5,6.8,9.7,11.5,9.6,19.1,28.9,39.4,5.2,20.9,10.6,34.6,3.5,11.5,8.5,10.7,4.2,8.8,86.70000000000002,163.3,76.6,0.469,,,,
1984-01-21,3,6.9,7.3,10.9,12.4,9.2,17.9,28.6,40.6,5.9,22.0,11.8,36.6,4.0,12.3,8.8,12.1,3.9,7.9,90.0,169.1,79.1,0.468,,,,
1984-01-28,4,6.6,6.9,10.7,13.0,9.7,18.2,27.3,37.5,6.6,24.8,10.1,28.5,3.5,10.7,9.6,12.0,4.5,7.9,88.59999999999997,159.49999999999997,70.9,0.445,,,,
1984-02-04,5,6.4,6.7,9.9,12.1,8.9,17.2,25.0,34.7,5.1,20.8,9.5,28.1,3.2,11.0,8.6,11.5,4.5,8.3,81.10000000000001,150.4,69.3,0.461,,,,
1984-02-11,6,6.2,6.4,9.8,11.9,8.0,17.3,26.2,36.6,5.0,21.7,8.3,28.9,2.9,11.3,8.5,11.5,3.6,7.3,78.50000000000003,152.90000000000003,74.4,0.487,,,,
1984-02-18,7,5.8,6.1,9.4,11.5,8.0,17.8,24.4,34.9,4.9,21.0,8.5,26.4,2.9,9.6,9.1,11.7,3.5,7.3,76.50000000000003,146.3,69.79999999999998,0.477,,,,
1984-02-25,8,5.6,5.8,8.7,10.6,7.3,15.2,24.0,30.4,4.6,21.8,7.4,26.4,2.8,9.2,8.1,11.7,3.8,8.0,72.3,139.1,66.8,0.48,,,,
1984-03-03,9,6.2,6.5,6.9,11.4,7.4,18.0,21.9,30.4,4.7,24.4,7.7,26.5,2.1,6.5,8.3,12.1,3.9,8.3,69.1,144.1,75.0,0.52,,,,
1984-03-10,10,6.1,6.5,8.6,10.5,7.0,18.4,21.6,31.4,4.0,22.5,7.1,25.6,2.5,8.2,7.6,11.7,3.8,7.7,68.3,142.5,74.2,0.521,,,,
