date,week,region,category,slaughter_1000_head
1984-01-07,1,10,beef_dairy,9.1
1984-01-07,1,10,dairy,4.4
1984-01-07,1,1_2,beef_dairy,6.8
1984-01-07,1,1_2,dairy,5.8
1984-01-07,1,3,beef_dairy,13.8
1984-01-07,1,3,dairy,11.9
1984-01-07,1,4,beef_dairy,21.3
1984-01-07,1,4,dairy,10.3
1984-01-07,1,5,beef_dairy,40.2
1984-01-07,1,5,dairy,27.6
1984-01-07,1,6,beef_dairy,29.9
1984-01-07,1,6,dairy,6.8
1984-01-07,1,7,beef_dairy,36.9
1984-01-07,1,7,dairy,11.7
1984-01-07,1,8,beef_dairy,11.6
1984-01-07,1,8,dairy,3.5
1984-01-07,1,9,beef_dairy,10.7
1984-01-07,1,9,dairy,8.5
1984-01-14,2,10,beef_dairy,8.8
1984-01-14,2,10,dairy,4.2
1984-01-14,2,1_2,beef_dairy,6.8
1984-01-14,2,1_2,dairy,6.5
1984-01-14,2,3,beef_dairy,11.5
1984-01-14,2,3,dairy,9.7
1984-01-14,2,4,beef_dairy,19.1
1984-01-14,2,4,dairy,9.6
1984-01-14,2,5,beef_dairy,39.4
1984-01-14,2,5,dairy,28.9
1984-01-14,2,6,beef_dairy,20.9
1984-01-14,2,6,dairy,5.2
1984-01-14,2,7,beef_dairy,34.6
1984-01-14,2,7,dairy,10.6
1984-01-14,2,8,beef_dairy,11.5
1984-01-14,2,8,dairy,3.5
1984-01-14,2,9,beef_dairy,10.7
1984-01-14,2,9,dairy,8.5
1984-01-21,3,10,beef_dairy,7.9
1984-01-21,3,10,dairy,3.9
1984-01-21,3,1_2,beef_dairy,7.3
1984-01-21,3,1_2,dairy,6.9
1984-01-21,3,3,beef_dairy,12.4
1984-01-21,3,3,dairy,10.9
1984-01-21,3,4,beef_dairy,17.9
1984-01-21,3,4,dairy,9.2
1984-01-21,3,5,beef_dairy,40.6
1984-01-21,3,5,dairy,28.6
1984-01-21,3,6,beef_dairy,22.0
1984-01-21,3,6,dairy,5.9
1984-01-21,3,7,beef_dairy,36.6
1984-01-21,3,7,dairy,11.8
1984-01-21,3,8,beef_dairy,12.3
1984-01-21,3,8,dairy,4.0
1984-01-21,3,9,beef_dairy,12.1
1984-01-21,3,9,dairy,8.8
1984-01-28,4,10,beef_dairy,7.9
1984-01-28,4,10,dairy,4.5
1984-01-28,4,1_2,beef_dairy,6.9
1984-01-28,4,1_2,dairy,6.6
1984-01-28,4,3,beef_dairy,13.0
1984-01-28,4,3,dairy,10.7
1984-01-28,4,4,beef_dairy,18.2
1984-01-28,4,4,dairy,9.7
1984-01-28,4,5,beef_dairy,37.5
1984-01-28,4,5,dairy,27.3
1984-01-28,4,6,beef_dairy,24.8
1984-01-28,4,6,dairy,6.6
1984-01-28,4,7,beef_dairy,28.5
1984-01-28,4,7,dairy,10.1
1984-01-28,4,8,beef_dairy,10.7
1984-01-28,4,8,dairy,3.5
1984-01-28,4,9,beef_dairy,12.0
1984-01-28,4,9,dairy,9.6
1984-02-04,5,10,beef_dairy,8.3
1984-02-04,5,10,dairy,4.5
1984-02-04,5,1_2,beef_dairy,6.7
1984-02-04,5,1_2,dairy,6.4
1984-02-04,5,3,beef_dairy,12.1
1984-02-04,5,3,dairy,9.9
1984-02-04,5,4,beef_dairy,17.2
1984-02-04,5,4,dairy,8.9
1984-02-04,5,5,beef_dairy,34.7
1984-02-04,5,5,dairy,25.0
1984-02-04,5,6,beef_dairy,20.8
1984-02-04,5,6,dairy,5.1
1984-02-04,5,7,beef_dairy,28.1
1984-02-04,5,7,dairy,9.5
1984-02-04,5,8,beef_dairy,11.0
1984-02-04,5,8,dairy,3.2
1984-02-04,5,9,beef_dairy,11.5
1984-02-04,5,9,dairy,8.6
1984-02-11,6,10,beef_dairy,7.3
1984-02-11,6,10,dairy,3.6
1984-02-11,6,1_2,beef_dairy,6.4
1984-02-11,6,1_2,dairy,6.2
1984-02-11,6,3,beef_dairy,11.9
1984-02-11,6,3,dairy,9.8
1984-02-11,6,4,beef_dairy,17.3
1984-02-11,6,4,dairy,8.0
1984-02-11,6,5,beef_dairy,36.6
1984-02-11,6,5,dairy,26.2
1984-02-11,6,6,beef_dairy,21.7
1984-02-11,6,6,dairy,5.0
1984-02-11,6,7,beef_dairy,28.9
1984-02-11,6,7,dairy,8.3
1984-02-11,6,8,beef_dairy,11.3
1984-02-11,6,8,dairy,2.9
1984-02-11,6,9,beef_dairy,11.5
1984-02-11,6,9,dairy,8.5
1984-02-18,7,10,beef_dairy,7.3
1984-02-18,7,10,dairy,3.5
1984-02-18,7,1_2,beef_dairy,6.1
1984-02-18,7,1_2,dairy,5.8
1984-02-18,7,3,beef_dairy,11.5
1984-02-18,7,3,dairy,9.4
1984-02-18,7,4,beef_dairy,17.8
1984-02-18,7,4,dairy,8.0
1984-02-18,7,5,beef_dairy,34.9
1984-02-18,7,5,dairy,24.4
1984-02-18,7,6,beef_dairy,21.0
1984-02-18,7,6,dairy,4.9
1984-02-18,7,7,beef_dairy,26.4
1984-02-18,7,7,dairy,8.5
1984-02-18,7,8,beef_dairy,9.6
1984-02-18,7,8,dairy,2.9
1984-02-18,7,9,beef_dairy,11.7
1984-02-18,7,9,dairy,9.1
1984-02-25,8,10,beef_dairy,8.0
1984-02-25,8,10,dairy,3.8
1984-02-25,8,1_2,beef_dairy,5.8
1984-02-25,8,1_2,dairy,5.6
1984-02-25,8,3,beef_dairy,10.6
1984-02-25,8,3,dairy,8.7
1984-02-25,8,4,beef_dairy,15.2
1984-02-25,8,4,dairy,7.3
1984-02-25,8,5,beef_dairy,30.4
1984-02-25,8,5,dairy,24.0
1984-02-25,8,6,beef_dairy,21.8
1984-02-25,8,6,dairy,4.6
1984-02-25,8,7,beef_dairy,26.4
1984-02-25,8,7,dairy,7.4
1984-02-25,8,8,beef_dairy,9.2
1984-02-25,8,8,dairy,2.8
1984-02-25,8,9,beef_dairy,11.7
1984-02-25,8,9,dairy,8.1
1984-03-03,9,10,beef_dairy,8.3
1984-03-03,9,10,dairy,3.9
1984-03-03,9,1_2,beef_dairy,6.5
1984-03-03,9,1_2,dairy,6.2
1984-03-03,9,3,beef_dairy,11.4
1984-03-03,9,3,dairy,6.9
