year,state,region,cattle_inventory_head
2026,AL,region_4,1200000
2025,AL,region_4,1180000
2024,AL,region_4,1170000
2023,AL,region_4,1250000
2022,AL,region_4,1260000
2021,AL,region_4,1295000
2020,AL,region_4,1300000
2019,AL,region_4,1290000
2018,AL,region_4,1340000
2017,AL,region_4,1300000
2016,AL,region_4,1250000
2015,AL,region_4,1200000
2014,AL,region_4,1260000
2013,AL,region_4,1250000
2012,AL,region_4,1240000
2011,AL,region_4,1230000
2010,AL,region_4,1280000
2009,AL,region_4,1260000
2008,AL,region_4,1220000
2007,AL,region_4,1280000
2006,AL,region_4,1280000
2005,AL,region_4,1320000
2004,AL,region_4,1360000
2003,AL,region_4,1440000
2002,AL,region_4,1370000
2001,AL,region_4,1360000
2000,AL,region_4,1460000
1999,AL,region_4,1500000
1998,AL,region_4,1550000
1997,AL,region_4,1600000
1996,AL,region_4,1750000
1995,AL,region_4,1780000
1994,AL,region_4,1660000
1993,AL,region_4,1590000
1992,AL,region_4,1580000
1991,AL,region_4,1560000
1990,AL,region_4,1600000
1989,AL,region_4,1680000
1988,AL,region_4,1750000
1987,AL,region_4,1850000
1986,AL,region_4,1780000
1985,AL,region_4,1830000
1984,AL,region_4,1870000
2026,FL,region_4,1580000
2025,FL,region_4,1560000
2024,FL,region_4,1560000
2023,FL,region_4,1610000
2022,FL,region_4,1630000
2021,FL,region_4,1690000
2020,FL,region_4,1680000
2019,FL,region_4,1680000
2018,FL,region_4,1630000
2017,FL,region_4,1700000
2016,FL,region_4,1680000
2015,FL,region_4,1680000
2014,FL,region_4,1670000
2013,FL,region_4,1700000
2012,FL,region_4,1710000
2011,FL,region_4,1630000
2010,FL,region_4,1720000
2009,FL,region_4,1700000
2008,FL,region_4,1710000
2007,FL,region_4,1730000
2006,FL,region_4,1680000
2005,FL,region_4,1710000
2004,FL,region_4,1740000
2003,FL,region_4,1750000
2002,FL,region_4,1780000
2001,FL,region_4,1800000
2000,FL,region_4,1830000
1999,FL,region_4,1830000
1998,FL,region_4,1870000
1997,FL,region_4,1970000
1996,FL,region_4,2000000
1995,FL,region_4,2020000
1994,FL,region_4,1980000
1993,FL,region_4,1930000
1992,FL,region_4,1920000
1991,FL,region_4,1870000
1990,FL,region_4,1890000
1989,FL,region_4,1910000
1988,FL,region_4,1970000
1987,FL,region_4,2140000
1986,FL,region_4,2120000
1985,FL,region_4,2190000
1984,FL,region_4,2330000
2026,GA,region_4,970000
2025,GA,region_4,980000
2024,GA,region_4,1010000
2023,GA,region_4,1030000
2022,GA,region_4,1050000
2021,GA,region_4,1090000
2020,GA,region_4,1090000
2019,GA,region_4,1070000
2018,GA,region_4,1060000
2017,GA,region_4,1100000
2016,GA,region_4,1100000
2015,GA,region_4,1030000
2014,GA,region_4,1040000
2013,GA,region_4,1030000
2012,GA,region_4,1020000
2011,GA,region_4,1030000
2010,GA,region_4,1060000
2009,GA,region_4,1110000
2008,GA,region_4,1130000
2007,GA,region_4,1170000
2006,GA,region_4,1180000
2005,GA,region_4,1210000
2004,GA,region_4,1250000
2003,GA,region_4,1290000
2002,GA,region_4,1240000
2001,GA,region_4,1270000
2000,GA,region_4,1310000
1999,GA,region_4,1300000
1998,GA,region_4,1300000
1997,GA,region_4,1390000
1996,GA,region_4,1470000
1995,GA,region_4,1500000
1994,GA,region_4,1470000
1993,GA,region_4,1400000
1992,GA,region_4,1380000
1991,GA,region_4,1370000
1990,GA,region_4,1350000
1989,GA,region_4,1400000
1988,GA,region_4,1520000
1987,GA,region_4,1650000
1986,GA,region_4,1700000
1985,GA,region_4,1750000
1984,GA,region_4,1725000
2026,KY,region_4,1820000
2025,KY,region_4,1840000
2024,KY,region_4,1890000
2023,KY,region_4,1910000
2022,KY,region_4,2030000
2021,KY,region_4,2090000
2020,KY,region_4,2110000
2019,KY,region_4,2110000
2018,KY,region_4,2160000
2017,KY,region_4,2170000
2016,KY,region_4,2170000
2015,KY,region_4,2050000
2014,KY,region_4,2090000
2013,KY,region_4,2270000
2012,KY,region_4,2150000
2011,KY,region_4,2190000
2010,KY,region_4,2300000
2009,KY,region_4,2300000
2008,KY,region_4,2400000
2007,KY,region_4,2460000
2006,KY,region_4,2380000
2005,KY,region_4,2250000
2004,KY,region_4,2320000
2003,KY,region_4,2400000
2002,KY,region_4,2300000
2001,KY,region_4,2260000
2000,KY,region_4,2230000
1999,KY,region_4,2420000
1998,KY,region_4,2480000
1997,KY,region_4,2600000
1996,KY,region_4,2700000
1995,KY,region_4,2650000
1994,KY,region_4,2600000
1993,KY,region_4,2600000
1992,KY,region_4,2550000
1991,KY,region_4,2500000
1990,KY,region_4,2420000
1989,KY,region_4,2450000
1988,KY,region_4,2450000
1987,KY,region_4,2450000
1986,KY,region_4,2480000
1985,KY,region_4,2580000
1984,KY,region_4,2630000
2026,MS,region_4,800000
2025,MS,region_4,810000
2024,MS,region_4,810000
2023,MS,region_4,850000
2022,MS,region_4,900000
2021,MS,region_4,920000
2020,MS,region_4,920000
2019,MS,region_4,890000
2018,MS,region_4,930000
2017,MS,region_4,890000
2016,MS,region_4,940000
2015,MS,region_4,900000
2014,MS,region_4,930000
2013,MS,region_4,920000
2012,MS,region_4,970000
2011,MS,region_4,900000
2010,MS,region_4,980000
2009,MS,region_4,960000
2008,MS,region_4,940000
2007,MS,region_4,930000
2006,MS,region_4,940000
2005,MS,region_4,1060000
2004,MS,region_4,1020000
2003,MS,region_4,1070000
2002,MS,region_4,1100000
2001,MS,region_4,1070000
2000,MS,region_4,1070000
1999,MS,region_4,1160000
1998,MS,region_4,1200000
1997,MS,region_4,1260000
1996,MS,region_4,1340000
1995,MS,region_4,1300000
1994,MS,region_4,1340000
1993,MS,region_4,1350000
1992,MS,region_4,1270000
