date,roni,roni_lag4,roni_lag8,roni_lag12,roni_lag16,roni_rolling4,roni_rolling8,is_el_nino,is_la_nina,roni_x_summer
1984-01-07,-0.5,,,,,-0.5,-0.5,0,1,-0.0
1984-01-14,-0.5,,,,,-0.5,-0.5,0,1,-0.0
1984-01-21,-0.5,,,,,-0.5,-0.5,0,1,-0.0
1984-01-28,-0.5,,,,,-0.5,-0.5,0,1,-0.0
1984-02-04,-0.3,-0.5,,,,-0.45,-0.45999999999999996,0,0,-0.0
1984-02-11,-0.3,-0.5,,,,-0.4,-0.43333333333333335,0,0,-0.0
1984-02-18,-0.3,-0.5,,,,-0.35,-0.41428571428571426,0,0,-0.0
1984-02-25,-0.3,-0.5,,,,-0.3,-0.4,0,0,-0.0
1984-03-03,-0.3,-0.3,-0.5,,,-0.3,-0.375,0,0,-0.0
1984-03-10,-0.3,-0.3,-0.5,,,-0.3,-0.35,0,0,-0.0
1984-03-17,-0.3,-0.3,-0.5,,,-0.3,-0.325,0,0,-0.0
1984-03-24,-0.3,-0.3,-0.5,,,-0.3,-0.3,0,0,-0.0
1984-03-31,-0.3,-0.3,-0.3,-0.5,,-0.3,-0.3,0,0,-0.0
1984-04-07,-0.5,-0.3,-0.3,-0.5,,-0.35,-0.32499999999999996,0,1,-0.0
1984-04-14,-0.5,-0.3,-0.3,-0.5,,-0.39999999999999997,-0.35,0,1,-0.0
1984-04-21,-0.5,-0.3,-0.3,-0.5,,-0.44999999999999996,-0.375,0,1,-0.0
1984-04-28,-0.5,-0.3,-0.3,-0.3,-0.5,-0.5,-0.4,0,1,-0.0
1984-05-05,-0.6,-0.5,-0.3,-0.3,-0.5,-0.525,-0.4375,0,1,-0.0
1984-05-12,-0.6,-0.5,-0.3,-0.3,-0.5,-0.55,-0.475,0,1,-0.0
1984-05-19,-0.6,-0.5,-0.3,-0.3,-0.5,-0.575,-0.5125,0,1,-0.0
1984-05-26,-0.6,-0.5,-0.3,-0.3,-0.3,-0.6,-0.55,0,1,-0.0
1984-06-02,-0.4,-0.6,-0.5,-0.3,-0.3,-0.5499999999999999,-0.5375,0,0,-0.4
1984-06-09,-0.4,-0.6,-0.5,-0.3,-0.3,-0.5,-0.525,0,0,-0.4
