region,week_ending,night_strong_recovery_hrs_sum,night_reasonable_recovery_hrs_sum,night_weak_recovery_hrs_sum,night_poor_recovery_hrs_sum,night_bad_hrs_sum,night_below_0c_hrs_sum,night_below_neg5c_hrs_sum,night_below_neg10c_hrs_sum,day_above_25c_hrs_sum,day_above_30c_hrs_sum,day_above_35c_hrs_sum,day_above_40c_hrs_sum,day_below_5c_hrs_sum,day_below_0c_hrs_sum,day_below_neg5c_hrs_sum,vpd_afternoon_mean_mean,vpd_afternoon_max_mean,vpd_afternoon_min_mean,tas,tas_max,day_heat_x_vpd,bad_night_into_heat_sum,night_strong_recovery_hrs_sum_lag1,night_reasonable_recovery_hrs_sum_lag1,night_weak_recovery_hrs_sum_lag1,night_poor_recovery_hrs_sum_lag1,night_bad_hrs_sum_lag1,night_below_0c_hrs_sum_lag1,night_below_neg5c_hrs_sum_lag1,night_below_neg10c_hrs_sum_lag1,day_above_25c_hrs_sum_lag1,day_above_30c_hrs_sum_lag1,day_above_35c_hrs_sum_lag1,day_above_40c_hrs_sum_lag1,day_below_5c_hrs_sum_lag1,day_below_0c_hrs_sum_lag1,day_below_neg5c_hrs_sum_lag1,vpd_afternoon_mean_mean_lag1,vpd_afternoon_max_mean_lag1,vpd_afternoon_min_mean_lag1,tas_lag1,tas_max_lag1,day_heat_x_vpd_lag1,bad_night_into_heat_sum_lag1,night_strong_recovery_hrs_sum_lag2,night_reasonable_recovery_hrs_sum_lag2,night_weak_recovery_hrs_sum_lag2,night_poor_recovery_hrs_sum_lag2,night_bad_hrs_sum_lag2,night_below_0c_hrs_sum_lag2,night_below_neg5c_hrs_sum_lag2,night_below_neg10c_hrs_sum_lag2,day_above_25c_hrs_sum_lag2,day_above_30c_hrs_sum_lag2,day_above_35c_hrs_sum_lag2,day_above_40c_hrs_sum_lag2,day_below_5c_hrs_sum_lag2,day_below_0c_hrs_sum_lag2,day_below_neg5c_hrs_sum_lag2,vpd_afternoon_mean_mean_lag2,vpd_afternoon_max_mean_lag2,vpd_afternoon_min_mean_lag2,tas_lag2,tas_max_lag2,day_heat_x_vpd_lag2,bad_night_into_heat_sum_lag2,night_strong_recovery_hrs_sum_lag3,night_reasonable_recovery_hrs_sum_lag3,night_weak_recovery_hrs_sum_lag3,night_poor_recovery_hrs_sum_lag3,night_bad_hrs_sum_lag3,night_below_0c_hrs_sum_lag3,night_below_neg5c_hrs_sum_lag3,night_below_neg10c_hrs_sum_lag3,day_above_25c_hrs_sum_lag3,day_above_30c_hrs_sum_lag3,day_above_35c_hrs_sum_lag3,day_above_40c_hrs_sum_lag3,day_below_5c_hrs_sum_lag3,day_below_0c_hrs_sum_lag3,day_below_neg5c_hrs_sum_lag3,vpd_afternoon_mean_mean_lag3,vpd_afternoon_max_mean_lag3,vpd_afternoon_min_mean_lag3,tas_lag3,tas_max_lag3,day_heat_x_vpd_lag3,bad_night_into_heat_sum_lag3,night_strong_recovery_hrs_sum_lag4,night_reasonable_recovery_hrs_sum_lag4,night_weak_recovery_hrs_sum_lag4,night_poor_recovery_hrs_sum_lag4,night_bad_hrs_sum_lag4,night_below_0c_hrs_sum_lag4,night_below_neg5c_hrs_sum_lag4,night_below_neg10c_hrs_sum_lag4,day_above_25c_hrs_sum_lag4,day_above_30c_hrs_sum_lag4,day_above_35c_hrs_sum_lag4,day_above_40c_hrs_sum_lag4,day_below_5c_hrs_sum_lag4,day_below_0c_hrs_sum_lag4,day_below_neg5c_hrs_sum_lag4,vpd_afternoon_mean_mean_lag4,vpd_afternoon_max_mean_lag4,vpd_afternoon_min_mean_lag4,tas_lag4,tas_max_lag4,day_heat_x_vpd_lag4,bad_night_into_heat_sum_lag4,slaughter_beef_dairy,slaughter_dairy,_merge,log_slaughter_beef_dairy,log_slaughter_dairy
region_4,2020-06-06,14031948881791.0,37092651757191.0,90103514376998.0,142884345047920.0,89873482428113.0,0.0,0.0,0.0,100374440894569.0,21059424920131.0,207028753995.0,0.0,0.0,0.0,0.0,1.0676106691360474,1.6298825025558472,0.3761294066905975,0.8,1.0,22483266730601.41,3.994345313313835e+26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,3.5,both,2.501435951739211,1.2809338454620642
region_4,2020-06-13,5382747603837.0,24026837060707.0,83030031948886.0,227973162939293.0,168935463258782.0,0.0,0.0,0.0,166888178913736.0,40761661341857.0,172523961663.0,0.0,0.0,0.0,0.0,1.0100062915257044,1.5515087842941284,0.33780368311064585,1.0,1.0,41169534408315.66,9.613271055130493e+26,14031948881791.0,37092651757191.0,90103514376998.0,142884345047920.0,89873482428113.0,0.0,0.0,0.0,100374440894569.0,21059424920131.0,207028753995.0,0.0,0.0,0.0,0.0,1.0676106691360474,1.6298825025558472,0.3761294066905975,0.8,1.0,22483266730601.41,3.994345313313835e+26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,3.7,both,2.5416019934645457,1.3350010667323402
region_4,2020-06-20,39001916932911.0,91667731629397.0,152442172523960.0,160286261980827.0,99534824281152.0,0.0,0.0,0.0,112508626198085.0,26373162939300.0,310543130991.0,0.0,0.0,0.0,0.0,1.1579556890896388,1.7162408658436366,0.42100886361939566,0.7142857142857143,1.0,30538954064850.453,5.5331272055449884e+26,5382747603837.0,24026837060707.0,83030031948886.0,227973162939293.0,168935463258782.0,0.0,0.0,0.0,166888178913736.0,40761661341857.0,172523961663.0,0.0,0.0,0.0,0.0,1.0100062915257044,1.5515087842941284,0.33780368311064585,1.0,1.0,41169534408315.66,9.613271055130493e+26,14031948881791.0,37092651757191.0,90103514376998.0,142884345047920.0,89873482428113.0,0.0,0.0,0.0,100374440894569.0,21059424920131.0,207028753995.0,0.0,0.0,0.0,0.0,1.0676106691360474,1.6298825025558472,0.3761294066905975,0.8,1.0,22483266730601.41,3.994345313313835e+26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,3.8,both,2.517696472610991,1.3609765531356006
region_4,2020-06-27,2668370607033.0,22175079872208.0,95474760383389.0,229824920127792.0,156490734824278.0,0.0,0.0,0.0,161746964856226.0,49502875399364.0,1633226837064.0,0.0,0.0,0.0,0.0,1.15223890542984,1.7664371047701155,0.3735418915748596,1.0,1.0,57039138965792.93,1.0069346801539791e+27,39001916932911.0,91667731629397.0,152442172523960.0,160286261980827.0,99534824281152.0,0.0,0.0,0.0,112508626198085.0,26373162939300.0,310543130991.0,0.0,0.0,0.0,0.0,1.1579556890896388,1.7162408658436366,0.42100886361939566,0.7142857142857143,1.0,30538954064850.453,5.5331272055449884e+26,5382747603837.0,24026837060707.0,83030031948886.0,227973162939293.0,168935463258782.0,0.0,0.0,0.0,166888178913736.0,40761661341857.0,172523961663.0,0.0,0.0,0.0,0.0,1.0100062915257044,1.5515087842941284,0.33780368311064585,1.0,1.0,41169534408315.66,9.613271055130493e+26,14031948881791.0,37092651757191.0,90103514376998.0,142884345047920.0,89873482428113.0,0.0,0.0,0.0,100374440894569.0,21059424920131.0,207028753995.0,0.0,0.0,0.0,0.0,1.0676106691360474,1.6298825025558472,0.3761294066905975,0.8,1.0,22483266730601.41,3.994345313313835e+26,,,,,,,,,,,,,,,,,,,,,,,11.9,2.7,both,2.4849066497880004,1.0296194171811583
region_4,2020-07-04,552076677320.0,13146325878598.0,67364856230035.0,238830670926513.0,184589137380189.0,0.0,0.0,0.0,182484345047919.0,74760383386583.0,5072204472847.0,0.0,0.0,0.0,0.0,1.2060040746416365,1.8375049659184046,0.4099531088556562,1.0,1.0,90161326985990.0,2.2525840966019492e+27,2668370607033.0,22175079872208.0,95474760383389.0,229824920127792.0,156490734824278.0,0.0,0.0,0.0,161746964856226.0,49502875399364.0,1633226837064.0,0.0,0.0,0.0,0.0,1.15223890542984,1.7664371047701155,0.3735418915748596,1.0,1.0,57039138965792.93,1.0069346801539791e+27,39001916932911.0,91667731629397.0,152442172523960.0,160286261980827.0,99534824281152.0,0.0,0.0,0.0,112508626198085.0,26373162939300.0,310543130991.0,0.0,0.0,0.0,0.0,1.1579556890896388,1.7162408658436366,0.42100886361939566,0.7142857142857143,1.0,30538954064850.453,5.5331272055449884e+26,5382747603837.0,24026837060707.0,83030031948886.0,227973162939293.0,168935463258782.0,0.0,0.0,0.0,166888178913736.0,40761661341857.0,172523961663.0,0.0,0.0,0.0,0.0,1.0100062915257044,1.5515087842941284,0.33780368311064585,1.0,1.0,41169534408315.66,9.613271055130493e+26,14031948881791.0,37092651757191.0,90103514376998.0,142884345047920.0,89873482428113.0,0.0,0.0,0.0,100374440894569.0,21059424920131.0,207028753995.0,0.0,0.0,0.0,0.0,1.0676106691360474,1.6298825025558472,0.3761294066905975,0.8,1.0,22483266730601.41,3.994345313313835e+26,9.8,2.9,both,2.2925347571405443,1.0986122886681098
region_4,2020-07-11,34504792333.0,3979552715659.0,46259424920131.0,248020447284341.0,205694568690093.0,0.0,0.0,0.0,193042811501595.0,84571246006391.0,4140575079874.0,23003194889.0,0.0,0.0,0.0,1.2466761895588465,1.8679178271974837,0.40954879777772085,1.0,1.0,105432958717491.34,2.4619338215149918e+27,552076677320.0,13146325878598.0,67364856230035.0,238830670926513.0,184589137380189.0,0.0,0.0,0.0,182484345047919.0,74760383386583.0,5072204472847.0,0.0,0.0,0.0,0.0,1.2060040746416365,1.8375049659184046,0.4099531088556562,1.0,1.0,90161326985990.0,2.2525840966019492e+27,2668370607033.0,22175079872208.0,95474760383389.0,229824920127792.0,156490734824278.0,0.0,0.0,0.0,161746964856226.0,49502875399364.0,1633226837064.0,0.0,0.0,0.0,0.0,1.15223890542984,1.7664371047701155,0.3735418915748596,1.0,1.0,57039138965792.93,1.0069346801539791e+27,39001916932911.0,91667731629397.0,152442172523960.0,160286261980827.0,99534824281152.0,0.0,0.0,0.0,112508626198085.0,26373162939300.0,310543130991.0,0.0,0.0,0.0,0.0,1.1579556890896388,1.7162408658436366,0.42100886361939566,0.7142857142857143,1.0,30538954064850.453,5.5331272055449884e+26,5382747603837.0,24026837060707.0,83030031948886.0,227973162939293.0,168935463258782.0,0.0,0.0,0.0,166888178913736.0,40761661341857.0,172523961663.0,0.0,0.0,0.0,0.0,1.0100062915257044,1.5515087842941284,0.33780368311064585,1.0,1.0,41169534408315.66,9.613271055130493e+26,11.5,3.0,both,2.451005098112319,1.1314021114911006
region_4,2020-07-18,448562300321.0,8752715654956.0,38231309904157.0,243247284345044.0,213768690095843.0,0.0,0.0,0.0,206879233226834.0,116752715654948.0,19127156549526.0,11501597445.0,0.0,0.0,0.0,1.674710954938616,2.4846316065107072,0.5810143308980125,1.0,1.0,195527051926174.7,3.702826603517231e+27,34504792333.0,3979552715659.0,46259424920131.0,248020447284341.0,205694568690093.0,0.0,0.0,0.0,193042811501595.0,84571246006391.0,4140575079874.0,23003194889.0,0.0,0.0,0.0,1.2466761895588465,1.8679178271974837,0.40954879777772085,1.0,1.0,105432958717491.34,2.4619338215149918e+27,552076677320.0,13146325878598.0,67364856230035.0,238830670926513.0,184589137380189.0,0.0,0.0,0.0,182484345047919.0,74760383386583.0,5072204472847.0,0.0,0.0,0.0,0.0,1.2060040746416365,1.8375049659184046,0.4099531088556562,1.0,1.0,90161326985990.0,2.2525840966019492e+27,2668370607033.0,22175079872208.0,95474760383389.0,229824920127792.0,156490734824278.0,0.0,0.0,0.0,161746964856226.0,49502875399364.0,1633226837064.0,0.0,0.0,0.0,0.0,1.15223890542984,1.7664371047701155,0.3735418915748596,1.0,1.0,57039138965792.93,1.0069346801539791e+27,39001916932911.0,91667731629397.0,152442172523960.0,160286261980827.0,99534824281152.0,0.0,0.0,0.0,112508626198085.0,26373162939300.0,310543130991.0,0.0,0.0,0.0,0.0,1.1579556890896388,1.7162408658436366,0.42100886361939566,0.7142857142857143,1.0,30538954064850.453,5.5331272055449884e+26,11.4,2.9,both,2.4423470353692043,1.0986122886681098
region_4,2020-07-25,0.0,1713738019173.0,17148881789140.0,250286261980827.0,234851118210860.0,0.0,0.0,0.0,210686261980827.0,121387859424917.0,24682428115020.0,11501597445.0,0.0,0.0,0.0,1.6907575130462646,2.5228233678000316,0.5737847089767456,1.0,1.0,205237435315282.25,3.893661872633061e+27,448562300321.0,8752715654956.0,38231309904157.0,243247284345044.0,213768690095843.0,0.0,0.0,0.0,206879233226834.0,116752715654948.0,19127156549526.0,11501597445.0,0.0,0.0,0.0,1.674710954938616,2.4846316065107072,0.5810143308980125,1.0,1.0,195527051926174.7,3.702826603517231e+27,34504792333.0,3979552715659.0,46259424920131.0,248020447284341.0,205694568690093.0,0.0,0.0,0.0,193042811501595.0,84571246006391.0,4140575079874.0,23003194889.0,0.0,0.0,0.0,1.2466761895588465,1.8679178271974837,0.40954879777772085,1.0,1.0,105432958717491.34,2.4619338215149918e+27,552076677320.0,13146325878598.0,67364856230035.0,238830670926513.0,184589137380189.0,0.0,0.0,0.0,182484345047919.0,74760383386583.0,5072204472847.0,0.0,0.0,0.0,0.0,1.2060040746416365,1.8375049659184046,0.4099531088556562,1.0,1.0,90161326985990.0,2.2525840966019492e+27,2668370607033.0,22175079872208.0,95474760383389.0,229824920127792.0,156490734824278.0,0.0,0.0,0.0,161746964856226.0,49502875399364.0,1633226837064.0,0.0,0.0,0.0,0.0,1.15223890542984,1.7664371047701155,0.3735418915748596,1.0,1.0,57039138965792.93,1.0069346801539791e+27,10.5,2.8,both,2.3608540011180215,1.0647107369924282
region_4,2020-08-01,0.0,2564856230037.0,29087539936105.0,249435143769963.0,222900958466451.0,0.0,0.0,0.0,200208306709261.0,104043450479234.0,8890734824285.0,0.0,0.0,0.0,0.0,1.4333152770996094,2.173129916191101,0.4594839172703879,1.0,1.0,149127067054042.78,3.2614821766068743e+27,0.0,1713738019173.0,17148881789140.0,250286261980827.0,234851118210860.0,0.0,0.0,0.0,210686261980827.0,121387859424917.0,24682428115020.0,11501597445.0,0.0,0.0,0.0,1.6907575130462646,2.5228233678000316,0.5737847089767456,1.0,1.0,205237435315282.25,3.893661872633061e+27,448562300321.0,8752715654956.0,38231309904157.0,243247284345044.0,213768690095843.0,0.0,0.0,0.0,206879233226834.0,116752715654948.0,19127156549526.0,11501597445.0,0.0,0.0,0.0,1.674710954938616,2.4846316065107072,0.5810143308980125,1.0,1.0,195527051926174.7,3.702826603517231e+27,34504792333.0,3979552715659.0,46259424920131.0,248020447284341.0,205694568690093.0,0.0,0.0,0.0,193042811501595.0,84571246006391.0,4140575079874.0,23003194889.0,0.0,0.0,0.0,1.2466761895588465,1.8679178271974837,0.40954879777772085,1.0,1.0,105432958717491.34,2.4619338215149918e+27,552076677320.0,13146325878598.0,67364856230035.0,238830670926513.0,184589137380189.0,0.0,0.0,0.0,182484345047919.0,74760383386583.0,5072204472847.0,0.0,0.0,0.0,0.0,1.2060040746416365,1.8375049659184046,0.4099531088556562,1.0,1.0,90161326985990.0,2.2525840966019492e+27,10.7,2.7,both,2.379546134130174,1.0296194171811583
region_4,2020-08-08,1311182108629.0,18621086261985.0,59992332268376.0,233367412140571.0,191996166134180.0,0.0,0.0,0.0,190719488817888.0,92794888178918.0,17597444089461.0,0.0,0.0,0.0,0.0,1.5936445678983415,2.4247357504708424,0.46761904444013325,1.0,1.0,147882069475066.7,2.672392373914213e+27,0.0,2564856230037.0,29087539936105.0,249435143769963.0,222900958466451.0,0.0,0.0,0.0,200208306709261.0,104043450479234.0,8890734824285.0,0.0,0.0,0.0,0.0,1.4333152770996094,2.173129916191101,0.4594839172703879,1.0,1.0,149127067054042.78,3.2614821766068743e+27,0.0,1713738019173.0,17148881789140.0,250286261980827.0,234851118210860.0,0.0,0.0,0.0,210686261980827.0,121387859424917.0,24682428115020.0,11501597445.0,0.0,0.0,0.0,1.6907575130462646,2.5228233678000316,0.5737847089767456,1.0,1.0,205237435315282.25,3.893661872633061e+27,448562300321.0,8752715654956.0,38231309904157.0,243247284345044.0,213768690095843.0,0.0,0.0,0.0,206879233226834.0,116752715654948.0,19127156549526.0,11501597445.0,0.0,0.0,0.0,1.674710954938616,2.4846316065107072,0.5810143308980125,1.0,1.0,195527051926174.7,3.702826603517231e+27,34504792333.0,3979552715659.0,46259424920131.0,248020447284341.0,205694568690093.0,0.0,0.0,0.0,193042811501595.0,84571246006391.0,4140575079874.0,23003194889.0,0.0,0.0,0.0,1.2466761895588465,1.8679178271974837,0.40954879777772085,1.0,1.0,105432958717491.34,2.4619338215149918e+27,10.7,2.7,both,2.379546134130174,1.0296194171811583
