Variable,Region,N,Mean,Std,Min,P5,Median,P95,Max
slaughter_beef_dairy,SE (Region 4),2191,13.34701962574167,3.3786634734370904,5.7,9.0,13.0,19.5,29.8
slaughter_beef_dairy,SC (Region 6),2191,19.078685531720673,4.815832650345425,4.6,12.0,19.0,27.4,40.6
vpd_mean,SE (Region 4),2191,0.8546703233464784,0.5342963139872083,0.1290263831615448,0.21985454112291336,0.7562685608863831,1.871315360069275,2.698178768157959
vpd_mean,SC (Region 6),2191,0.9759470053945487,0.6237798906336836,0.1379155963659286,0.231686420738697,0.8533738851547241,2.126242995262146,3.0613763332366943
vpd_max,SE (Region 4),2191,1.3857452552008989,0.7634971175478866,0.2172739952802658,0.4176734536886215,1.2801551818847656,2.7773289680480957,4.03521728515625
vpd_max,SC (Region 6),2191,1.7360603661025185,0.9734867313314617,0.2282351404428482,0.4821096360683441,1.6012508869171145,3.476744771003723,4.697343349456787
daytime_hours_above_30,SE (Region 4),2191,7.560274897452986,10.917623868311576,0.0,0.0,0.744408945686901,31.538338658146962,45.04792332268371
daytime_hours_above_30,SC (Region 6),2191,8.362734172561561,10.92817343617278,0.0,0.0,1.7803203661327232,30.733409610983983,41.640732265446225
daytime_hours_above_35,SE (Region 4),2191,1.07072645428656,2.76481825243162,0.0,0.0,0.0,7.071884984025559,24.31629392971246
daytime_hours_above_35,SC (Region 6),2191,2.211126858680247,4.285745420246883,0.0,0.0,0.0320366132723112,12.52745995423341,24.906178489702516
nighttime_hours_above_21,SE (Region 4),2191,29.417120284404835,25.915725238625466,0.0,0.645367412140575,20.677316293929714,68.38019169329073,69.93610223642173
nighttime_hours_above_21,SC (Region 6),2191,32.75713105516952,25.944241336597816,0.0,0.5949656750572082,30.23112128146453,67.9771167048055,69.41189931350114
nighttime_hours_above_24,SE (Region 4),2191,20.089687262588896,21.63313492052751,0.0,0.0543130990415335,9.495207667731629,60.05591054313099,68.31629392971246
nighttime_hours_above_24,SC (Region 6),2191,25.221490662341367,24.014548122719678,0.0,0.0938215102974828,17.26086956521739,64.24713958810068,67.93135011441647
