region,variable,z_stat,p_value,trend,significant,annual_mean,first_decade_mean,last_decade_mean
region_4,mean_nighttime_hours_below_18_above_0,-3.3379159145762767,0.0008440928898829636,decreasing,True,29.311931236926718,30.231589630756247,28.08382164733813
region_4,mean_nighttime_hours_below_21_above_0,-2.5684612719304467,0.010215112582179886,decreasing,True,37.32562126873869,38.23144831839449,36.20334930004591
region_4,mean_nighttime_hours_below_24_above_0,-1.9832422479462943,0.04734037686850501,decreasing,True,46.654505379684714,47.554991607042666,45.688688287419374
region_4,mean_nighttime_hours_above_21,3.8906227705613095,9.998727212745528e-05,increasing,True,29.41852645967571,28.25844999234896,31.263711936083688
region_4,mean_nighttime_hours_above_24,3.608850647902273,0.0003075566008718944,increasing,True,20.089049586457506,18.93442318125542,21.777813263654785
region_4,mean_nighttime_hours_below_0,-1.5063971172925406,0.1319652602821486,decreasing,False,3.253090417830607,3.50740261155446,2.5300511924027504
region_4,mean_nighttime_hours_below_neg5,-1.1379258799691852,0.25515143362394865,decreasing,False,0.6274814260829091,0.7106048029973523,0.4899523317119314
region_4,mean_nighttime_hours_below_neg10,-1.007877207972707,0.3135134146487595,decreasing,False,0.10430899199058821,0.14399497813657797,0.08048150535340841
region_4,mean_daytime_hours_above_25,4.042346221223868,5.291901774939767e-05,increasing,True,20.61067061517661,19.27406518221064,22.278142837932457
region_4,mean_daytime_hours_above_30,2.069941362610613,0.03845783590249274,increasing,True,7.55824756000324,6.791022665621798,8.455605081216932
region_4,mean_daytime_hours_above_35,0.7044303066475909,0.48116483785141306,increasing,False,1.0696915207283524,0.9729373495875396,1.1127257635968228
region_4,mean_daytime_hours_above_40,0.3034469013251161,0.7615493074182684,increasing,False,0.021205272614338862,0.020179961698437793,0.012890376848421332
region_4,mean_daytime_hours_below_neg5,-1.2896493306317434,0.1971724396202572,decreasing,False,1.0798682299074125,1.1965999248807133,0.8375172148365229
region_4,mean_daytime_hours_below_0,-2.1349656986088523,0.03276381208019763,decreasing,True,4.923488042188687,5.292109113082349,3.9968124150850657
region_4,mean_daytime_hours_below_5,-3.0669811812502803,0.0021623247007551694,decreasing,True,11.750797231582693,12.5277569241898,10.115707697872084
region_4,mean_vpd_mean,1.2246249946335042,0.22071654606499114,increasing,False,0.8545283614542282,0.8245497800388166,0.871981318748633
region_4,mean_vpd_min,-0.010837389333039859,0.9913531836320892,decreasing,False,0.24698179655670588,0.2400232868167708,0.23907395987933655
region_4,mean_vpd_max,1.6147710106229392,0.10636029317722118,increasing,False,1.3855363723983305,1.3335056519392656,1.4309460147447526
region_6,mean_nighttime_hours_below_18_above_0,-4.259094007884665,2.052571395738667e-05,decreasing,True,27.44192090705087,28.6220299043817,26.124742853536947
region_6,mean_nighttime_hours_below_21_above_0,-4.475841794545462,7.611083023162379e-06,decreasing,True,34.2760550331467,35.68113215850253,32.882063764351884
region_6,mean_nighttime_hours_below_24_above_0,-4.259094007884665,2.052571395738667e-05,decreasing,True,41.812989041670875,43.398257598150735,40.4085695283517
region_6,mean_nighttime_hours_above_21,5.494556391851209,3.9169375298797604e-08,increasing,True,32.7563898347813,30.9271671875467,34.63548795554861
region_6,mean_nighttime_hours_above_24,5.277808605190412,1.3073791027551351e-07,increasing,True,25.219152763748205,23.209781114140817,27.108607141315144
region_6,mean_nighttime_hours_below_0,-2.33003870660357,0.01980410545158029,decreasing,True,2.965260120548104,3.389390155201217,2.480325846167131
region_6,mean_nighttime_hours_below_neg5,-1.1379258799691852,0.25515143362394865,decreasing,False,0.5369994051829897,0.6853868240045434,0.4688737366860073
region_6,mean_nighttime_hours_below_neg10,-0.8561537573101489,0.39191273701717644,decreasing,False,0.06987721955231993,0.11446205989511546,0.06771163726821945
region_6,mean_daytime_hours_above_25,4.952686925199216,7.319568748886951e-07,increasing,True,19.292979621230774,17.291630991089132,21.066421587350085
region_6,mean_daytime_hours_above_30,3.565501090570114,0.0003631616516983627,increasing,True,8.359469459918492,7.09460623461854,9.279213399182312
region_6,mean_daytime_hours_above_35,2.178315255941012,0.02938257414104073,increasing,True,2.208778319244189,1.5948621356192274,2.5203227076019705
region_6,mean_daytime_hours_above_40,1.5497466746247,0.12120233059252405,increasing,False,0.16639404879334072,0.07089703181409066,0.22545309920855017
region_6,mean_daytime_hours_below_neg5,-1.7231449039533377,0.08486232422393636,decreasing,False,1.4175918277425121,1.7084957139488464,1.1945748489669303
region_6,mean_daytime_hours_below_0,-2.8935829519216427,0.003808736710099847,decreasing,True,6.658028337392354,7.44421748429887,5.668078467450256
region_6,mean_daytime_hours_below_5,-3.760574098564831,0.00016952384842983115,decreasing,True,15.015743494376753,16.184674170439035,13.397736081542911
region_6,mean_vpd_mean,2.6118108292626063,0.009006407424790197,increasing,True,0.9756904615636286,0.898609307135289,1.0119308286480313
region_6,mean_vpd_min,2.481762157266128,0.013073450432612654,increasing,True,0.3123394484055055,0.27244178993473334,0.33000695853627926
region_6,mean_vpd_max,2.633485607928686,0.008451341739250884,increasing,True,1.735674356972973,1.6203228894431896,1.8010956952572734
